Especie,Zapallo temp/guard,Lechuga,Choclo,Tomate al aire libre,Repollo,Cebolla de guarda,Brócoli,Betarraga,Poroto Verde,Coliflor,Pimiento,Haba,Zapallo Italiano,Acelga,Arveja Verde,Melón,Pepino de ensalada,Orégano,Sandía,Ají,Maíz,Papa,Limonero,Naranjo,Lima,Olivo,Palto,Mango,Tuna,Vid de mesa,Vid vinifera
ENE,,,,,,,,,,,,,,,,,,5,48,,,,20,,,,,,,,
FEB,,,,,,,,,,,2,8,,,8,,,,48,,,,20,,,,,,,,
MAR,,,5,10,,,,22,,,8,8,2,,8,,,,48,,10,,20,,,,,24,20,,
ABR,,,5,10,1,12,1,22,,1,8,,6,1,,,12,,,12,10,,20,,38,,,24,20,,12
MAY,,,,,1,12,1,,1,1,,,6,1,,,12,5,,12,,,,,104,35,15,24,,14,
JUN,,10,,100,,,,,,,,4,,,,,,5,,,,,12,22,104,35,15,,,14,7
JUL,,,,100,,,,,,,,4,,,6,16,,,,,,,,22,104,25,15,,,,7
AGO,4,,3,100,,,8,,,15,,,,,6,,,,,,1,5,,22,104,25,15,,,,
SEP,4,18,3,100,12,10,8,8,12,15,30,,8,8,,15,25,,,10,1,,,,38,,,,,,
OCT,,18,,100,12,10,,8,,,30,,8,8,,15,25,,,10,,,,,38,,,,,,
NOV,,,,100,,,,,,,,,,,,15,,,,,,17,,,,,,,,45,
DIC,10,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,45,
