Especie,Lechuga,Choclo,Tomate al aire libre,Poroto granado,Zanahoria,Cebolla de Guarda,Betarraga,Poroto Verde,Coliflor,Haba,Apio,Zapallo Italiano,Acelga,Arveja Verde,Espinaca,Melón,Sandía,Ají,Espárrago,Trigo,Arroz,Lenteja,Papa,Poroto,Lupino,Avellano,Frambuesa,Arándano americano,Cerezo,Manzano rojo,Peral,Kiwi
ENE,,,70,25,57,35,2,,,12,,,,,,24,,,,,,,,,1,,78,,15,,,
FEB,,21,70,25,57,35,,,15,,,,6,,,24,42,6,,,,,,,,,78,,,50,20,
MAR,,,,,,35,,,10,,,,,,,,,,,,,,37,12,,21,78,,,,20,60
ABR,,,,,,,58,,10,,,,,,,,,,,,3,2,,12,,,78,,,,,60
MAY,,,,,,,58,,,,16,,60,,,,,16,,,,2,,,,5,,,10,17,11,
JUN,14,,,,,,58,,,,16,2,60,,,,,16,,,,,,,,,12,,10,17,11,22
JUL,,,,,,,,,,,,4,60,1,,,,16,,,,,,,,,12,,10,17,11,22
AGO,,,,,,,,,,,,6,,1,,,,16,,0.2,,,,,,,,37,,,,
SEP,49,,,,2,65,,,,4,,,,,2,,,,,,,,,,,,,,,,,
OCT,,,5,25,,35,,25,,,8,8,,42,10,8,7,,105,,1,,,8,,,,,,6,5,
NOV,,,,25,,35,,25,,,8,8,,42,10,,,,,,,,2,,,,,118,,6,5,
DIC,,,,25,,35,,25,,,8,,,,,,,,,,,3,,,,,,118,160,6,,
